version,scope,model,contrast,family,F,S,U,records
revised,omitReviewed,Qwen30,C-N,F20,0.0,0.0,0.0,R0459;R0460;R0463;R0464
revised,omitReviewed,Qwen30,C-N,X02,0.0,0.5,0.0,R0467;R0468;R0471;R0472
revised,omitReviewed,Qwen30,C-N,X11,-0.5,-0.5,0.5,R0491;R0492;R0495;R0496
revised,omitReviewed,Qwen30,C-N,X20,0.0,0.0,0.0,R0499;R0500;R0503;R0504
revised,omitReviewed,Qwen30,C-N,X24,0.0,0.0,0.0,R0507;R0508;R0511;R0512
revised,omitReviewed,Qwen30,I-N,F01,0.0,0.5,-0.5,R0421;R0422;R0423;R0424
revised,omitReviewed,Qwen30,I-N,F02,0.0,0.0,0.0,R0429;R0430;R0431;R0432
revised,omitReviewed,Qwen30,I-N,F04,0.0,0.0,0.0,R0437;R0438;R0439;R0440
revised,omitReviewed,Qwen30,I-N,F08,0.0,0.0,0.0,R0445;R0446;R0447;R0448
revised,omitReviewed,Qwen30,I-N,F17,0.0,0.0,0.0,R0453;R0454;R0455;R0456
revised,omitReviewed,Qwen30,I-N,F20,0.0,0.0,0.0,R0461;R0462;R0463;R0464
revised,omitReviewed,Qwen30,I-N,X11,0.0,0.0,0.0,R0493;R0494;R0495;R0496
revised,omitReviewed,Qwen30,I-N,X20,0.0,-0.5,0.5,R0501;R0502;R0503;R0504
revised,omitReviewed,Qwen30,I-N,X24,0.0,0.0,0.0,R0509;R0510;R0511;R0512
revised,omitReviewed,Qwen30,B-C,F01,0.0,0.5,-0.5,R0417;R0418;R0419;R0420
revised,omitReviewed,Qwen30,B-C,F02,0.0,0.0,0.0,R0425;R0426;R0427;R0428
revised,omitReviewed,Qwen30,B-C,F04,0.0,0.0,0.0,R0433;R0434;R0435;R0436
revised,omitReviewed,Qwen30,B-C,F08,0.5,0.0,0.5,R0441;R0442;R0443;R0444
revised,omitReviewed,Qwen30,B-C,F17,0.5,0.5,0.0,R0449;R0450;R0451;R0452
revised,omitReviewed,Qwen30,B-C,F20,0.0,0.0,0.0,R0457;R0458;R0459;R0460
revised,omitReviewed,Qwen30,B-C,X11,0.0,-0.5,0.0,R0489;R0490;R0491;R0492
revised,omitReviewed,Qwen30,B-C,X20,0.0,0.0,0.0,R0497;R0498;R0499;R0500
revised,omitReviewed,Qwen30,B-C,X24,0.0,0.0,0.0,R0505;R0506;R0507;R0508
revised,omitReviewed,Qwen30,C-I,F01,0.0,0.0,0.0,R0419;R0420;R0421;R0422
revised,omitReviewed,Qwen30,C-I,F02,0.0,0.0,0.0,R0427;R0428;R0429;R0430
revised,omitReviewed,Qwen30,C-I,F04,0.0,0.0,0.0,R0435;R0436;R0437;R0438
revised,omitReviewed,Qwen30,C-I,F08,-0.5,0.0,-0.5,R0443;R0444;R0445;R0446
revised,omitReviewed,Qwen30,C-I,F17,-0.5,0.0,-0.5,R0451;R0452;R0453;R0454
revised,omitReviewed,Qwen30,C-I,F20,0.0,0.0,0.0,R0459;R0460;R0461;R0462
revised,omitReviewed,Qwen30,C-I,X11,-0.5,-0.5,0.5,R0491;R0492;R0493;R0494
revised,omitReviewed,Qwen30,C-I,X20,0.0,0.5,-0.5,R0499;R0500;R0501;R0502
revised,omitReviewed,Qwen30,C-I,X24,0.0,0.0,0.0,R0507;R0508;R0509;R0510
revised,omitReviewed,Devstral,C-N,F01,0.0,0.0,0.0,R0315;R0316;R0319;R0320
revised,omitReviewed,Devstral,C-N,F02,0.0,0.0,0.0,R0323;R0324;R0327;R0328
revised,omitReviewed,Devstral,C-N,F04,0.0,0.0,0.0,R0331;R0332;R0335;R0336
revised,omitReviewed,Devstral,C-N,F08,0.0,0.0,0.0,R0339;R0340;R0343;R0344
revised,omitReviewed,Devstral,C-N,F17,0.0,0.5,-0.5,R0347;R0348;R0351;R0352
revised,omitReviewed,Devstral,C-N,F20,0.0,0.0,0.0,R0355;R0356;R0359;R0360
revised,omitReviewed,Devstral,C-N,X11,0.5,-0.5,1.0,R0387;R0388;R0391;R0392
revised,omitReviewed,Devstral,C-N,X20,0.0,1.0,-1.0,R0395;R0396;R0399;R0400
revised,omitReviewed,Devstral,C-N,X24,0.0,0.0,0.0,R0403;R0404;R0407;R0408
revised,omitReviewed,Devstral,I-N,F01,0.0,0.0,0.0,R0317;R0318;R0319;R0320
revised,omitReviewed,Devstral,I-N,F02,0.0,1.0,-1.0,R0325;R0326;R0327;R0328
revised,omitReviewed,Devstral,I-N,F04,0.0,0.0,0.0,R0333;R0334;R0335;R0336
revised,omitReviewed,Devstral,I-N,F08,0.0,0.0,0.0,R0341;R0342;R0343;R0344
revised,omitReviewed,Devstral,I-N,F17,0.0,-0.5,0.5,R0349;R0350;R0351;R0352
revised,omitReviewed,Devstral,I-N,F20,0.0,0.0,0.0,R0357;R0358;R0359;R0360
revised,omitReviewed,Devstral,I-N,X11,0.5,0.5,0.0,R0389;R0390;R0391;R0392
revised,omitReviewed,Devstral,I-N,X20,0.0,1.0,-1.0,R0397;R0398;R0399;R0400
revised,omitReviewed,Devstral,I-N,X24,0.0,0.0,0.0,R0405;R0406;R0407;R0408
revised,omitReviewed,Devstral,B-C,F01,0.0,0.0,0.0,R0313;R0314;R0315;R0316
revised,omitReviewed,Devstral,B-C,F02,0.0,0.0,0.0,R0321;R0322;R0323;R0324
revised,omitReviewed,Devstral,B-C,F04,0.0,0.0,0.0,R0329;R0330;R0331;R0332
revised,omitReviewed,Devstral,B-C,F08,0.0,0.0,0.0,R0337;R0338;R0339;R0340
revised,omitReviewed,Devstral,B-C,F17,0.0,0.0,0.0,R0345;R0346;R0347;R0348
revised,omitReviewed,Devstral,B-C,F20,0.0,0.0,0.0,R0353;R0354;R0355;R0356
revised,omitReviewed,Devstral,B-C,X11,0.0,0.0,0.0,R0385;R0386;R0387;R0388
revised,omitReviewed,Devstral,B-C,X20,0.0,0.0,0.0,R0393;R0394;R0395;R0396
revised,omitReviewed,Devstral,B-C,X24,0.0,0.0,0.0,R0401;R0402;R0403;R0404
revised,omitReviewed,Devstral,C-I,F01,0.0,0.0,0.0,R0315;R0316;R0317;R0318
revised,omitReviewed,Devstral,C-I,F02,0.0,-1.0,1.0,R0323;R0324;R0325;R0326
revised,omitReviewed,Devstral,C-I,F04,0.0,0.0,0.0,R0331;R0332;R0333;R0334
revised,omitReviewed,Devstral,C-I,F08,0.0,0.0,0.0,R0339;R0340;R0341;R0342
revised,omitReviewed,Devstral,C-I,F17,0.0,1.0,-1.0,R0347;R0348;R0349;R0350
revised,omitReviewed,Devstral,C-I,F20,0.0,0.0,0.0,R0355;R0356;R0357;R0358
revised,omitReviewed,Devstral,C-I,X11,0.0,-1.0,1.0,R0387;R0388;R0389;R0390
revised,omitReviewed,Devstral,C-I,X20,0.0,0.0,0.0,R0395;R0396;R0397;R0398
revised,omitReviewed,Devstral,C-I,X24,0.0,0.0,0.0,R0403;R0404;R0405;R0406
